id,manufacturer,name,cost
1,Toyota,4Runner,38020
2,Chevrolet,Silverado 3500,117115
3,Land Rover,Range Rover Evoque,126745
4,Rolls-Royce,Phantom,175636
5,GMC,Sierra 3500,70390
6,Dodge,Intrepid,127087
7,Chevrolet,Colorado,56789
8,Mazda,B-Series Plus,130609
9,Oldsmobile,Achieva,175629
10,Oldsmobile,Aurora,169182
11,Hyundai,Accent,151582
12,Mercedes-Benz,SLK-Class,174146
13,Ford,Escort,159045
14,Porsche,944,106195
15,Ford,Ranger,185994
16,Dodge,Viper,158493
17,Porsche,928,56045
18,Dodge,Dakota Club,105754
19,Hummer,H1,62843
20,Suzuki,Samurai,173310
21,Nissan,Maxima,165544
22,Ford,Bronco,10680
23,Kia,Optima,106429
24,Bentley,Continental,105569
25,Ford,Thunderbird,95394
26,Lincoln,Continental,28132
27,Aston Martin,V8 Vantage S,136906
28,Chevrolet,Avalanche 1500,73768
29,Toyota,MR2,79306
30,Lincoln,Navigator,85112
31,Audi,A4,161039
32,Toyota,MR2,169275
33,Mazda,Miata MX-5,79016
34,Chevrolet,Tahoe,11486
35,Volkswagen,Corrado,52595
36,BMW,525,151370
37,Mitsubishi,Truck,196573
38,McLaren,MP4-12C,182578
39,Ford,Taurus,138150
40,Plymouth,Breeze,152019
41,Honda,Element,58679
42,Mazda,626,198437
43,Chevrolet,Camaro,119677
44,Volkswagen,Beetle,36281
45,Dodge,Grand Caravan,33693
46,Suzuki,Grand Vitara,107649
47,Land Rover,Range Rover,96051
48,Isuzu,Trooper,167149
49,Pontiac,6000,16415
50,Volkswagen,GTI,70193
51,Buick,Enclave,163228
52,Infiniti,Q,85208
53,Lexus,IS,199951
54,Scion,xB,117132
55,Jeep,Wrangler,105484
56,Oldsmobile,Regency,162871
57,GMC,Safari,100754
58,Mitsubishi,Montero,78091
59,Pontiac,GTO,179864
60,Bentley,Continental Super,42970
61,Suzuki,SJ,77549
62,Ford,Escort,189828
63,Mazda,B-Series,85263
64,Mitsubishi,Endeavor,78600
65,Ford,F350,32365
66,Ford,Econoline E250,109657
67,Nissan,Titan,25142
68,Ford,Econoline E250,62408
69,Pontiac,Vibe,75295
70,GMC,Sonoma,196059
71,Volkswagen,Eos,127478
72,Nissan,Pathfinder,152022
73,Suzuki,SJ,177991
74,Mercury,Lynx,150693
75,Maserati,GranTurismo,70908
76,Volvo,940,176252
77,Toyota,Matrix,91699
78,Volvo,S40,130644
79,Toyota,TundraMax,31185
80,Ferrari,458 Italia,103346
81,Mazda,CX-9,11656
82,Land Rover,Range Rover,52310
83,Dodge,Avenger,198530
84,Hyundai,Tucson,56714
85,Honda,Odyssey,136114
86,Lexus,GX,62102
87,Hummer,H2 SUV,112306
88,Honda,Passport,74474
89,Suzuki,Daewoo Lacetti,133974
90,Lotus,Exige,68610
91,Mercedes-Benz,G-Class,189337
92,Ford,Taurus,130199
93,Ford,Econoline E150,16315
94,Isuzu,Stylus,100575
95,Hyundai,Veracruz,64193
96,Volkswagen,Golf,10292
97,Volvo,S60,180858
98,Chevrolet,Silverado 1500,93465
99,Honda,Civic,18500
100,Eagle,Summit,166771
101,Chevrolet,Express 2500,43292
102,Pontiac,Sunfire,135013
103,Pontiac,Bonneville,187490
104,Dodge,Ram 3500,48199
105,Subaru,XT,123317
106,Mitsubishi,Mighty Max Macro,181453
107,Toyota,Matrix,177252
108,Mercedes-Benz,E-Class,90179
109,GMC,Jimmy,127450
110,Mitsubishi,GTO,20589
